id,question_processed,answer_processed,dataset
1064214,why do buddhist follow the eightfold path,to avoid the extremes of sensual pleasures and self-mortification.,msmarco
572ff5d8947a6a140053ce88,what can be considered one of the causes that led to the downfall of the roman republic?,the willingness of roman troops to wage war against one another,squad2
5726dc09708984140094d3d7,what changes to a keystone predator can seriously affect an ecosystem's equilibrium?,"introduction or removal of this predator, or changes in its population density",squad2
-1373367203569407074,why can a piano be considered both a string and a percussion instrument?,"the piano has strings , but they are struck by hammers",naturalquestions
7896961,what happens if you don't take your antidepressants?,"it might seem like you don't need the medication anymore, but if you stop taking it, the medicine will leave your body and your symptoms might return. quitting without consulting your doctor can be life-threatening. suicide is a serious concern. it can also trigger withdrawal symptoms and relapse of your depression.",gooaq
1185272,why radium is dangerous,"radium is a highly radioactive alkali metal. it undergoes alpha decay, which is radioactive decay by the release of an alpha particle from a nucleus. the alpha particle is a helium-4 nucleus, and it can do a lot of damage. if an individual is up against a radium source, or if he ingests or breathes radium, he will have tissues exposed to the extremely destructive radiation. that's what makes radium so dangerous.",msmarco
cid0sn,why is it that our hands feel the cold faster than the rest of our body? ,"The body works hard all the time to keep your body at the right temperature. Most important to keep warm is the core of your body—internal organs and brains. If you’re in a situation where it’s cold and your body starts to get cold, it will constrict the blood vessels at your extremities—hands and feet, arms and legs—so that there is less blood flow to the extremities. That way, the body works to keep your core warm while sacrificing the warmth of your extremities. It doesn’t have to keep warming up blood that has flowed near the extremities. The reason the extremities make your blood colder is that a lot of that blood is nearer the surface and is not as insulated.",eli5
164994,does constipation cause white stool,"yes, constipation causes white stool.",msmarco
57270c73f1498d1400e8f29f,what does excess electric field present in the dielectric lead to?,heating of both the dielectric and the conductors,squad2
3955323,why are cfcs still affecting the ozone layer?,"cfcs deplete ozone because they can bind to oxygen molecules in several chemical reactions, breaking ozone down into regular oxygen molecules.",gooaq
-526904920920897197,why does dna need to replicate during interphase?,in preparation for mitosis,naturalquestions
592538,what causes the body to chill,"colds, flu, respiratory infections and pneumonia.",msmarco
3957981,why are egg shells different colours?,all eggs start out white in color; those that are laid in shades other than white have pigments deposited on them as the eggs travel through the hen's oviduct. ... chickens that lay brown tinted eggs deposit the pigment protoporphyrin on the eggs late in the process of forming the shell.,gooaq
567930,what are the causes of low sodium levels in the body?,hormonal diseases such as addison's disease or adrenal insufficiency and hypothyroidism may be associated with low sodium levels and by excess fluid in the body.,msmarco
570d2dfdb3d812140066d4fb,what caused steve jobs to resign from apple in 1985?,an internal power struggle,squad2
572b68a7f75d5e190021fda6,what causes water quality problems in guam?,sediment is carried by the heavy rains into the fena lake reservoir and ugum river,squad2
2994908,what causes sores in your throat?,"many things, including chemotherapy and radiation, fungal, bacterial or viral infections, cancer, stomach acid reflux, and other conditions that cause inflammation and irritation can cause these ulcers. ulcers may develop in the throat, esophagus, and the voice box as a result of many conditions and causes.",gooaq
